교과목명,학정번호,학점
AS LHP: THE KOREAN WAVE,ASP2037,3
AS LHP: TOPICS IN CHINESE HISTORY,ASP2038,3
ASP LHP: WARS IN EAST ASIA 1839-PRESENT,ASP2039,3
AS LHP: STRANGER THINGS IN THE CHINESE LITERARY TRADITION,ASP2100,3
AS LHP: THE TRADITIONAL CHINESE NOVEL: THEN AND NOW,ASP2101,3
POWER AND MARGINALITY IN POST-SOCIALIST CHINA,ASP3003,3
TRANSNATIONAL EAST ASIAN CINEMAS,ASP3004,3
HISTORY OF KOREAN PAINTING,ASP3005,3
"WOMEN IN KOREAN ART: GENDER, IDENTITY AND REPRESENTATION",ASP3006,3
AS LHP: CAPITALISM AND ITS CRITICS; KOREA 1920-PRESENT,ASP3007,3
AS LHP: SPACE AND MOBILITY IN EARLY MODERN JAPAN 1603-1868,ASP3008,3
"AS LHP: SOVEREIGNTY AND NATIONALISM IN KOREA, 1894-1948",ASP3009,3
CONTEMPORARY ISSUES IN CHINESE ECONOMY,ASP3011,3
MEDIA ART PRODUCTION,ASP3015,3
HISTORIOGRAPHY ON KOREA,ASP3018,3
"JAPANESE FICTION AND FILM: GENDER, CLASS, AND ETHNICITY",ASP3019,3
ETHNICITY AND CULTURE IN ASIA,ASP3024,3
RELIGIOUS PRACTICE IN KOREAN HISTORY,ASP3026,3
GENDER AND KOREAN SOCIETY,ASP3029,3
FOOD AND CULTURE IN ASIA,ASP3030,3
DEMOCRACY IN SOUTH KOREA,ASP3031,3
DIPLOMATIC PRACTICE IN THE KOREAN PENINSULA,ASP3033,3
OUTLAWS,ASP3034,3
THE DIARY IN KOREAN AND WORLD HISTORY,ASP3035,3
CONTEMPORARY SOUTHEAST ASIA,ASP4001,3
CRITICAL ISSUES IN SOUTHEAST ASIA,ASP4003,3
ART AND THE CITY,ASP4004,3
우주의탐구,AST1001,3
천문우주학개론(1),AST1002,3
천문우주학개론(2),AST1003,3
기초천체물리학(1),AST2102,3
기초천체물리학(2),AST2105,3
위성천문학,AST2106,3
전파천문학,AST3101,3
천체관측법(1),AST3102,3
우주동력학(1),AST3103,3
항성진화론,AST3104,3
우주동력학(2),AST3105,3
은하와우주(1),AST3106,3
과학영상처리론및실습,AST3107,3
천문관측기기와응용,AST3108,3
우주비행학,AST3109,3
천체물리학(1),AST3110,3
천문계산법,AST3111,3
은하와우주(2),AST4103,3
우주비행체임무및개념설계,AST4104,3
천체물리학(2),AST4105,3
우주론,AST4106,3
졸업논문연구(1)ⓟ,AST4108,1
졸업논문연구(2)ⓟ,AST4109,2
기후변화의 이해,ATM2101,3
대기환경,ATM2102,3
방송기상학,ATM2103,3
대기탐사,ATM2104,3
대기과학입문,ATM2105,3
대기해양순환,ATM2106,3
도시기상학,ATM2108,3
대기열역학,ATM2109,3
기상재해,ATM2110,3
태양과기후,ATM2111,3
대기역학(1),ATM3103,3
대기물리(1),ATM3104,3
미기상학,ATM3105,3
대기관측,ATM3106,3
대기화학,ATM3107,3
대기물리(2),ATM3108,3
대기분석,ATM3109,3
위성기상학,ATM3110,3
해양물리,ATM3111,3
고층대기,ATM3112,3
기상통계분석,ATM3113,3
항공기상학,ATM3114,3
기상프로그래밍,ATM3119,3
대기예측,ATM3120,3
대기과학빅데이터개론,ATM3121,3
대기역학(2),ATM4101,3
유체역학,ATM4102,3
전산유체역학,ATM4103,3
대기오염,ATM4104,3
기후역학,ATM4105,3
대기과학심화연구,ATM4106,3
자료동화,ATM4107,3
실용기상기후학,ATM4108,3
생물대기상호작용,ATM4112,3
대기대순환개론,ATM4113,3
생화학실험(1),BCH2002,3
생화학과 진로계획세미나ⓟ,BCH3001,3
생체물리화학,BCH3103,3
분자생리학,BCH3104,3
생화학실험(2),BCH3107,3
단백질생화학,BCH3108,3
분자생물학,BCH3109,3
발생생화학,BCH3113,3
세포생화학(2),BCH3115,3
분자바이러스학,BCH3116,3
유전생화학ⓟ,BCH3117,3
병리생화학,BCH3122,3
신경과학2,BCH3123,3
생물정보통계학,BCH3124,3
줄기세포학,BCH3125,3
생화학과제실험(1)ⓟ,BCH4101,3
생화학과제실험(2)ⓟ,BCH4102,3
생화학창의실험,BCH4107,3
생리생화학,BCH4109,3
후성유전체학,BCH4110,3
암생물학,BCH4111,3
암유전체학,BCH4113,3
생화학과제실험(2),BCH4201,3
GENERAL BIOLOGY AND LABORATORY(1),BIO1001,3
GENERAL BIOLOGY AND LABORATORY(2),BIO1002,3
일반생물학및실험(1)(심화),BIO1008,3
일반생물학및실험(2)(심화),BIO1009,3
공학생물학및실험(1),BIO1011,3
공학생물학및실험(2),BIO1012,3
생명체의진화와다양성,BIO2207,3
INTRODUCTION TO MODERN BIOLOGICAL SCIENCE AND RESEARCH,BIO2208,2
현대생명과학연구세미나,BIO2503,2
발생학,BIO3101,3
미생물학,BIO3102,3
식물세포형태학,BIO3103,3
면역학,BIO3104,3
식물분자생리학,BIO3105,3
식물발생분화학,BIO3106,3
시스템생물학실험 II,BIO3111,3
동물생리학,BIO3112,3
시스템생물학실험 III,BIO3113,3
유전체학,BIO3118,3
유전학,BIO3119,3
환경생물학,BIO3120,3
감각과지각,BIO3121,3
시스템생물학실험(1),BIO3502,3
세포생물학 II,BIO3503,3
분자생물학,BIO3712,3
분자생화학,BIO3715,3
생체방어시스템,BIO3716,3
조직학,BIO3718,3
후성유전학입문,BIO3719,3
바이러스학,BIO4101,3
세균학,BIO4104,3
생물리학,BIO4106,3
분자암생물학,BIO4108,3
유전체학,BIO4112,3
바이오기술의최신동향과산업화,BIO4717,3
시스템생물학창의실험,BIO4912,3
시스템생물학실험 IV,BIO4913,3
진화학,BIO4915,3
분자생물학연구기법,BIO4916,3
시스템생명정보학,BIO4994,3
회계원리(1),BIZ1101,3
조직행동론,BIZ1102,3
주니어세미나ⓟ,BIZ2001,1
UT세미나ⓟ,BIZ2003,1
경영수학(1),BIZ2113,3
경영수학(2),BIZ2114,3
재무관리,BIZ2119,3
마케팅,BIZ2120,3
오퍼레이션관리,BIZ2121,3
경영과학,BIZ2122,3
창업101:한국의빌게이츠를향해,BIZ2124,3
경영학입문세미나,BIZ2127,1
상법(1),BIZ3001,3
경영시뮬레이션,BIZ3104,3
회사법,BIZ3105,3
조세개론,BIZ3106,3
법인세법,BIZ3107,3
회계원리(2),BIZ3108,3
중급회계(1),BIZ3109,3
원가회계,BIZ3110,3
E-BUSINESS전략,BIZ3113,3
HCI개론,BIZ3117,3
기업재무,BIZ3119,3
투자론,BIZ3120,3
보험총론,BIZ3124,3
보험경영론,BIZ3125,3
소비자행동론,BIZ3126,3
시장조사론,BIZ3127,3
광고론,BIZ3128,3
유통경로론,BIZ3129,3
신제품마케팅,BIZ3130,3
국제경영론,BIZ3134,3
국제마케팅,BIZ3135,3
인적자원관리,BIZ3136,3
경영협상론,BIZ3138,3
벤처창업론,BIZ3143,3
전략경영,BIZ3147,3
노사관계론,BIZ3148,3
물류및공급체인관리,BIZ3150,3
중급회계(2),BIZ3155,3
비즈니스커뮤니케이션,BIZ3158,3
전략적구매및공급경영,BIZ3160,3
