교과목명,학정번호,학점
빛과색재디자인,DSN2106,3
패션일러스트레이션,DSN2110,3
디자인재료와조형,DSN2120,3
패션소재와디자인,DSN2121,3
디자인미학,DSN3106,3
디자인현장실습,DSN3107,3
인포메이션디자인,DSN3108,3
인터랙티브미디어디자인,DSN3110,3
제품디자인기초,DSN3111,3
패션디자인과제작기법,DSN3113,3
한국의미와디자인,DSN3118,3
현대디자인사,DSN3119,3
타이포그래피디자인,DSN3120,3
디자인리서치,DSN3121,3
인터랙션디자인,DSN3122,3
제품디자인프로세스,DSN3123,3
광고디자인,DSN3124,3
2D디지털디자인,DSN3126,3
3D디지털디자인,DSN3127,3
커뮤니케이션디자인기초,DSN3128,3
사용자경험과인터페이스디자인,DSN3134,3
DESIGN FOR SUSTAINABILITY,DSN3135,3
데이터기반통합디자인리서치,DSN3137,3
제품디자인스튜디오,DSN3138,3
디지털패션커뮤니케이션,DSN3139,3
디지털패션디자인,DSN4104,3
브랜드디자인,DSN4106,3
패션디자인,DSN4109,3
시스템씽킹과디자인,DSN4116,3
통합디자인프로젝트,DSN4117,3
비주얼머천다이징,DSN4119,3
디자인비즈니스,DSN4120,3
커뮤니케이션디자인,DSN4121,3
디자인엑스1,DSN4122,3
디자인엑스2,DSN4123,3
디자인엑스3,DSN4124,3
스페큘레이티브디자인,DSN4125,2
프로페셔널프랙티스,DSN4127,3
동아시아학입문,EAS3103,3
국민경제의이해,ECN1003,3
미시경제학,ECN2001,3
거시경제학,ECN2002,3
수리경제학,ECN2004,3
통계학,ECN2005,3
경제윤리,ECN2007,3
사회과학도를위한수학,ECN2010,3
재무회계원리,ECN2012,3
게임이론,ECN3001,3
산업조직론,ECN3002,3
산업사례연구,ECN3003,3
기술혁신과경제,ECN3004,3
기업규제와경쟁정책,ECN3005,3
경제발전론,ECN3006,3
경제정책,ECN3007,3
제도경제이론,ECN3008,3
국제경제학,ECN3009,3
국제금융론,ECN3010,3
국제통상과협상,ECN3011,3
국제통상연습,ECN3012,3
공기업경제학,ECN3013,3
공공경제학,ECN3014,3
공공경제정책,ECN3015,3
노동경제학,ECN3016,3
노사관계론,ECN3017,3
지역경제론,ECN3018,3
지리정보와공간경제,ECN3019,3
금융과경제,ECN3020,3
금융경제정책,ECN3021,3
금융경제실습,ECN3022,3
정보경제학,ECN3023,3
법과경제,ECN3024,3
교육과경제,ECN3025,3
한국경제론,ECN3026,3
현대경제특수이론,ECN3027,3
환경과경제,ECN3028,3
복지경제학,ECN3029,3
자원경제학,ECN3030,3
경제학세미나,ECN3031,3
원서강독,ECN3032,3
통합사회,ECN3034,3
역사,ECN3035,3
지리,ECN3036,3
지식경제학,ECN3037,3
시장경제의원리,ECN3038,3
동아시아경제성장론,ECN3039,3
해외산업조사연구,ECN3040,3
경제학의쟁점,ECN3041,3
(통합)사회논리및논술,ECN3042,2
일반사회교육론,ECN3044,3
보건경제학,ECN3045,3
산업인턴십(1),ECN3046,1
산업인턴십(2),ECN3047,1
산업인턴십(3),ECN3048,1
산업인턴십(4),ECN3049,1
의료산업금융,ECN3050,3
금융투자론,ECN3051,3
경제예측론,ECN3052,3
보험금융이론,ECN3053,3
파생상품이론,ECN3054,3
포트폴리오위험관리,ECN3055,3
금융계량기초,ECN3056,3
경제금융법,ECN3057,3
금융리스크관리,ECN3058,3
대안투자상품분석론,ECN3059,3
부동산금융론,ECN3060,3
비용편익분석론,ECN3061,3
자산운용론,ECN3062,3
재무제표분석,ECN3063,3
전략경제학,ECN3064,3
주식투자분석론,ECN3065,3
채권투자분석론,ECN3066,3
MEDICI 장기 현장실습,ECN3067,9
글로벌직무실습,ECN3072,3
공기업과사기업의혁신과가치창조,ECN3073,3
경제와기업경영,ECN3074,3
공공기관NCS의이해,ECN3075,3
국가마케팅,ECN3076,3
YGENT장기현장실습,ECN3077,9
응용거시경제학,ECN3078,3
응용미시경제학,ECN3079,3
경제사개설,ECN3080,3
부동산경제론,ECN3081,3
파이썬을활용한글로벌자산운용,ECN3082,3
설문조사설계와데이터분석,ECN3083,3
행동경제학입문,ECN3084,3
비즈니스프로그래밍,ECN3085,3
핀테크개론,ECN3086,3
글로벌리더십,ECN3087,2
조세정책,ECN3088,3
거시경제정책,ECN3089,3
금융데이터분석,ECN3090,3
NCS준비(1),ECN3091,3
NCS준비(2),ECN3092,3
ESG투자와지배구조리스크,ECN3093,3
계량경제학,ECN4002,3
계량경제학실습,ECN4003,3
재무경제학,ECN4004,3
금융공학의이해,ECN4006,3
한국의산업조직,ECN4007,3
아시아금융론,ECN4008,3
창업경제학,ECN4009,3
동아시아비교경제체제론,ECN4010,3
실험경제학,ECN4011,3
산업전략분석론(캡스톤디자인),ECN4012,3
해외봉사및연구,ECN4013,3
금융시계열분석,ECN4014,3
해외학술조사연구,ECN4015,3
SODO학부연구(1),ECN4016,2
SODO학부연구(2),ECN4017,2
근대경제사,ECN4018,3
INTRODUCTION TO ECONOMICS,ECO1001,3
경제수학(1),ECO1101,3
MATHEMATICS FOR ECONOMICS II,ECO1102,3
미시경제원론,ECO1103,3
거시경제원론,ECO1104,3
주니어세미나ⓟ,ECO2001,1
거시경제학,ECO2101,3
MICROECONOMICS,ECO2102,3
경제사개설,ECO2103,3
KOREAN ECONOMIC HISTORY,ECO2109,3
시장경제의이해,ECO2112,3
국민경제론,ECO2113,3
경제수학(2),ECO2114,3
경제성장이론,ECO3000,3
게임이론과응용,ECO3101,3
경기변동과경기예측,ECO3102,3
경제발전론,ECO3103,3
계량경제학(1),ECO3104,3
금융경제학,ECO3105,3
노동경제학,ECO3106,3
AGRICULTURAL ECONOMICS,ECO3107,3
수리경제학,ECO3108,3
자원및환경경제학,ECO3109,3
재정학,ECO3110,3
도시와부동산경제학이론,ECO3111,3
한국경제론,ECO3112,3
인구경제학,ECO3113,3
후생경제학,ECO3114,3
인적자원관리경제학,ECO3115,3
경제정책,ECO3116,3
CONTEMPORARY ECONOMIC THEORY,ECO3117,3
금융리스크측정과관리,ECO3118,3
금융공학의이해(1),ECO3119,3
금융공학의이해(2),ECO3120,3
경제학설사개설(2),ECO3121,3
MATHEMATICS FOR FINANCE,ECO3122,3
계약및조직이론,ECO3123,3
E-BUSINESS ECONOMICS,ECO3124,3
법경제학,ECO3127,3
금융계량경제학,ECO3128,3
국제금융론,ECO3130,3
국제무역론,ECO3131,3
근대경제사,ECO3132,3
산업조직론,ECO3133,3
MONEY AND BANKING,ECO3134,3
환경과에너지경제,ECO3137,3
PERSONNEL ECONOMICS,ECO3138,3
의료경제학,ECO3140,3
소득분배론,ECO3150,3
시장경제와세계화,ECO3160,3
무역과국제계약,ECO3161,3
경제학설사개설(1),ECO3162,3
금융과경제데이터,ECO3165,3
"문화,경제와지식재산권",ECO3166,3
경제학코딩(1),ECO3200,3
도시와부동산경제데이터분석,ECO3230,3
뉴스미디어경제학,ECO3300,3
ECONOMIC PLANNING,ECO4102,3
경제동학,ECO4103,3
계량경제학(2),ECO4104,3
MARXIAN POLITICAL ECONOMY,ECO4105,3
비교경제제도론,ECO4107,3
SOCIAL SECURITY AND WELFARE POLICY,ECO4108,3
정치및공공경제,ECO4110,3
EXPERIMENTAL AND BEHAVIORAL ECONOMICS,ECO4111,3
거시경제동학,ECO4113,3
금융자산투자의이해,ECO4114,3
CORPORATE FINANCE AND ECONOMICS,ECO4115,3
산업과전략,ECO4116,3
시장경제포럼,ECO4117,3
경제학비판,ECO4119,3
아시아경제공동체론,ECO4120,3
개발경제특수문제,ECO4122,3
시장설계,ECO4124,3
거시경제학의수량분석,ECO4125,3
인공지능과금융공학,ECO4126,3
정보및게임이론,ECO4300,3
응용계량거시경제학,ECO4861,3
ANALYSIS OF INTERNATIONAL FINANCIAL MARKET,ECO4862,3
한국경제사,ECO4863,3
글로벌경제와미래,ECO4864,3
REAL ESTATE FINANCE AND ECONOMICS,ECO4865,3
행동경제학,ECO4866,3
응용계량미시경제학,ECO4867,3
미래를위한교육학,EDU2002,3
교육경제학개론,EDU2103,3
교육과정의원리,EDU2105,3
교육통계의이해,EDU2106,3
교육사회학,EDU2107,3
교육심리학,EDU2108,3
ICT활용교육,EDU2109,3
교육리더십,EDU2110,3
교육철학,EDU2111,3
교육학고전강독,EDU2112,3
교육행정입문,EDU2113,3
심리학개론,EDU2114,3
사고와창의성,EDU2115,3
인적자원개발론,EDU2116,3
정신건강,EDU2117,3
교육측정과검사이론,EDU2122,3
교수학습자료개발,EDU2124,3
서양교육사,EDU2125,3
교육학교육론,EDU2127,3
사교육시장분석,EDU2128,3
교육조사방법론,EDU2130,3
미래교육과교육공학,EDU2131,3
상담심리기초,EDU2133,3
교육과경영,EDU2134,3
학습공학,EDU2136,3
AI기반교육프로그램개발,EDU2137,3
개인차와교육,EDU3101,3
고등교육론,EDU3102,3
교수방법론,EDU3103,3
교수학습이론,EDU3104,3
교육경제학,EDU3105,3
교육과일의세계,EDU3106,3
교육사상사,EDU3107,3
교육행정의이론과실제,EDU3110,3
비교교육학,EDU3112,3
상담과생활지도,EDU3113,3
원격교육활용론,EDU3115,3
인간관계이론과실제,EDU3116,3
한국교육사,EDU3119,3
청소년교육론,EDU3120,3
평생교육론,EDU3122,3
포스트모던의 성인교육학,EDU3123,3
교육정책,EDU3124,3
한국문화와 교육,EDU3125,3
현대교육사조,EDU3126,3
교육재정론,EDU3127,3
성격심리학,EDU3128,3
기업교육론,EDU3129,3
동양사상과교육,EDU3130,3
인간발달과교육,EDU3131,3
프로그램평가방법,EDU3132,3
교육평가론,EDU3133,3
교육과법,EDU3135,3
교육의인류학적탐구,EDU3136,3
교육의비교문화적이해,EDU3137,3
교육현장연구방법입문,EDU3138,3
멀티미디어활용교육,EDU3139,3
교육학교재연구및지도법,EDU3143,3
교육학논리및논술교육,EDU3144,3
영재성과창의성,EDU3150,3
교재연구및지도법,EDU3154,3
여성교육의경제학,EDU3155,3
교육경영학원론,EDU3166,3
교육통계적방법,EDU3167,3
세계화와교육환경,EDU3168,3
고등교육의이해와탐구,EDU3169,3
교육과정개발,EDU4103,3
교육사회학이론과사상,EDU4104,3
특수교육학개론,EDU4106,3
교육연구방법론,EDU4108,3
교육행정문제세미나,EDU4113,3
교육프로그램개발,EDU4114,3
산업교육실제,EDU4117,3
상담심리세미나,EDU4118,3
진로상담의이론과실제,EDU4119,3
여성교육과가족경제,EDU4120,3
국제이해교육,EDU4121,3
세계시민의식과국제이해교육,EDU4122,3
한국교육문제세미나,EDU4123,3
HRD와성인교육,EDU4124,3
창의성과교육,EDU4125,3
마음교육론,EDU4127,3
기업교육공학의실제,EDU4129,3
인력개발인턴십,EDU4130,3
노인교육론,EDU4131,1
성인교육방법론,EDU4132,3
기업교육세미나,EDU4133,3
교수설계의원리와실제,EDU4134,3
다문화사회의교육,EDU4135,3
학습과학,EDU4138,3
집단상담실제,EDU4139,3
고등교육과인재개발,EDU4140,3
한국고등교육의이해와탐구,EDU4141,3
기초회로이론,EEE2010,3
데이터구조,EEE2020,3
전자기학(1),EEE2030,3
디지털논리회로,EEE2040,3
전자회로(1),EEE2050,3
신호및시스템,EEE2060,3
기초아날로그실험,EEE2111,3
기초전기전자재료공학,EEE2112,3
전기전자공학101,EEE2113,3
마이크로파공학,EEE3120,3
광전자공학,EEE3150,3
물리전자,EEE3210,3
반도체물성,EEE3220,3
전기전자재료,EEE3240,3
제어공학,EEE3310,3
기초디지털실험,EEE3313,3
기초인공지능,EEE3314,3
전기전자선형대수,EEE3315,3
전력전자,EEE3350,3
확률과랜덤변수,EEE3410,3
통신이론,EEE3430,3
통신시스템,EEE3440,3
통신네트워크,EEE3450,3
전자회로(2),EEE3510,3
디지털전자회로,EEE3511,3
컴퓨터구조,EEE3530,3
운영체제론,EEE3535,3
마이크로프로세서,EEE3540,3
전자기학(2),EEE3543,3
시스템반도체설계,EEE3544,3
기초컴퓨터비전,EEE3545,3
전기전자공학수학,EEE3547,3
바이오전기전자기초,EEE3548,3
지능형시스템설계및응용,EEE3551,3
지능제어,EEE4110,3
무선통신시스템,EEE4120,3
안테나공학,EEE4140,3
디지털제어공학,EEE4320,3
전력공학,EEE4340,3
전기기기,EEE4350,3
디지털신호처리,EEE4420,3
딥러닝실험,EEE4423,3
통신실험,EEE4424,3
영상처리및응용,EEE4430,3
임베디드시스템실험,EEE4473,3
네트워크실험,EEE4474,3
마이크로파및광파실험,EEE4475,3
전력공학실험,EEE4476,3
전자회로실험,EEE4548,3
바이오전기전자실험,EEE4549,3
전기전자종합설계ⓟ,EEE4610,3
반도체디스플레이실험,EEE4621,3
무선및이동네트워크,EEE4624,3
반도체종합설계ⓟ,EEE4625,3
The Bible and Christianity,EIC1001,3
English Writing Tutorial I,EIC1002,3
English Writing Tutorial II,EIC1003,3
"Language Skills (for non-Koreans) 1-1, 1-2",EIC1004,3
Asian History,EIC1020,3
Asian Literature,EIC1024,3
Quantitative method,EIC1030,3
Introduction to Politics,EIC1035,3
Introduction to Economics,EIC1037,3
EAST ASIAN POLITICAL SYSTEMS,EIC3001,3
EAST ASIAN INTERNATIONAL RELATIONS,EIC3002,3
EAST ASIAN ECONOMIC SYSTEMS,EIC3003,3
BUSINESS MANAGEMENT IN EAST ASIA,EIC3004,3
SOCIETY AND CULTURE OF EAST ASIA,EIC3005,3
TECHNOLOGY AND SOCIAL CHANGE,EIC3006,3
GLOBAL ENVIRONMENTAL CHANGE,EIC3007,3
QUANTITATIVE METHODS(2),EIC3008,3
EAST ASIA FIELD RESEARCH,EIC3011,1
COMPARATIVE POLITICS & AREA STUDIES,EIC3101,3
INTERNATIONAL POLITICAL ECONOMY,EIC3102,3
GLOBALIZATION AND EAST ASIA,EIC3103,3
INTERNATIONAL ORGANIZATION,EIC3104,3
INTERNATIONAL LAW,EIC3105,3
CONTEMPORARY ISSUES IN EAST ASIAN CULTURES,EIC3106,3
WOMEN AND GENDER IN ASIA,EIC3107,3
DESIGN ESTHETICS OF EAST ASIAN CULTURE,EIC3108,3
COMPARATIVE STUDY OF EAST ASIAN CINEMA†,EIC3109,3
CHINESE POLITICS AND ECONOMY,EIC3110,3
CULTURE AND SOCIETY IN CHINA,EIC3111,3
CHINESE FOREIGN POLICY,EIC3112,3
JAPANESE POLITICS†,EIC3113,3
CULTURE AND SOCIETY IN JAPAN,EIC3114,3
INTER-KOREAN RELATIONS,EIC3115,3
RUSSIA AND EAST ASIA IN 21ST CENTURY,EIC3116,3
US POLITICS,EIC3117,3
US-EAST ASIA RELATIONS,EIC3118,3
SOUTHEAST ASIAN POLITICS AND SOCIETY,EIC3119,3
EUROPEAN UNION AND EAST ASIA IN 21ST CENTURY,EIC3120,3
UNDERSTANDING THE POLITICAL WORLD†,EIC3121,3
CONCEPTS AND CASES OF GLOBALIZATION†,EIC3122,3
PUBLIC ADMINISTRATION IN A GLOBAL AGE†,EIC3123,3
PUBLIC ADMINISTRATION IN ASIA†,EIC3124,3
SOCIAL-POLITICAL PHILOSOPHY†,EIC3125,3
KOREAN GOVERNMENT AND POLITICS†,EIC3126,3
EAST ASIAN COOPERATION†,EIC3127,3
EUROPEAN POLITICAL ECONOMY†,EIC3128,3
CONTEMPORARY EUROPEAN STUDIES†,EIC3129,3
"WAR, PEACEBUILDING, AND RECONSTRUCTION†",EIC3130,3
HISTORY OF KOREAN CIVILIZATION†,EIC3131,3
"MULTI-CULTURALISM, GENDER AND DEVELOPMENT†",EIC3132,3
"LEADERSHIP, NGOS, AND COMMUNITY DEVELOPMENT†",EIC3133,3
HISTORY OF INTERNATIONAL DEVELOPMENT AND THE PRACTICAL VIEW†,EIC3134,3
EAST ASIAN SECURITY AND INTERNATIONAL POLITICS,EIC3135,3
KOREAN POPULAR CULTURE AND MEDIA,EIC3136,3
MICROECONOMICS,EIC3201,3
MACROECONOMICS,EIC3202,3
INTERNATIONAL ECONOMICS,EIC3203,3
KOREAN ECONOMY AND BUSINESS,EIC3204,3
JAPANESE ECONOMY AND BUSINESS,EIC3206,3
RUSSIAN ECONOMY AND BUSINESS,EIC3207,3
EU-EAST ASIA ECONOMIC RELATIONS,EIC3208,3
SOUTHEAST ASIAN ECONOMIES,EIC3209,3
TRANSNATIONAL ECONOMIC ORGANIZATIONS IN ASIA,EIC3210,3
BUSINESS ETHICS,EIC3211,3
MARKETING STRATEGIES IN EAST ASIA,EIC3212,3
CORPORATE CULTURE IN EAST ASIA,EIC3213,3
ENTREPRENEURSHIP AND ORGANIZATIONAL MANAGEMENT IN ASIA,EIC3214,3
CONTEMPORARY ISSUES IN EAST ASIAN BUSINESS,EIC3215,3
INDUSTRIAL ORGANIZATION†,EIC3216,3
EAST ASIAN ECONOMIC GROWTH†,EIC3217,3
MONEY AND BANKING IN ASIA†,EIC3218,3
MARKETING†,EIC3219,3
BRAND MANAGEMENT†,EIC3220,3
FINANCIAL MANAGEMENT†,EIC3221,3
MANAGEMENT SCIENCE†,EIC3222,3
EAST ASIAN ECONOMIC AND FINANCIAL ENVIRONMENT†,EIC3223,3
ORGANIZATIONAL BEHAVIOR†,EIC3224,3
PRINCIPLES OF ACCOUNTING(2)†,EIC3225,3
PERSONNEL MANAGEMENT†,EIC3226,3
INVESTMENT†,EIC3227,3
WEB PROGRAMMING†,EIC3228,3
APPLIED MACROECONOMICS†,EIC3229,3
MATHEMATICAL ECONOMICS†,EIC3230,3
EXPERIMENTAL ECONOMICS†,EIC3231,3
ECONOMICS OF EDUCATION†,EIC3232,3
HEALTH ECONOMICS†,EIC3233,3
Calculus,EIC3234,3
INTERNATIONAL INTERNSHIP IN EAST ASIA I,EIC3309,1
INTERNATIONAL INTERNSHIP IN EAST ASIA II,EIC3310,1
"SELECTIVE READINGS IN CHINESE I, II",EIC3313,3
"SELECTIVE READINGS IN JAPANESE I, II",EIC3315,3
CHINESE LANGUAGE V,EIC3319,3
CHINESE LANGUAGE VI,EIC3320,3
JAPANESE LANGUAGE V,EIC3321,3
JAPANESE LANGUAGE VI,EIC3322,3
RUSSIAN HISTORY,EIC3325,3
GLOBALIZATION OF CHINA†,EIC3328,3
ADVERTISEMENT†,EIC3333,3
LABOR ECONOMICS†,EIC3334,3
BUSINESS PROGRAMMING,EIC3335,3
INTRODUCTION TO ETHICS,EIC3337,3
DIVERSITY AND CONVERGENCE IN EAST ASIA,EIC3339,2
DEA INTERNSHIP(1)~(4),EIC3340,1
APPLIED MICROECONOMICS†,EIC3344,3
INTRODUCTION TO FINANCIAL ECONOMETRICS,EIC3345,3
AMERICAN GOVERNMENT AND ECONOMY,EIC3346,3
CONTEMPORARY THEORIES OF JUSTICE,EIC3347,3
ICT POLICY†,EIC3348,3
ASIAN MARKET RESEARCH,EIC3349,3
FINANCIAL TIME SERIES ANALYSIS,EIC3350,3
GLOBAL ASSET MANAGEMENT WITH PYTHON†,EIC3351,3
SPECIAL TOPICS IN EAST ASIAN POLITICS,EIC4101,3
SPECIAL TOPICS IN INTERNATIONAL RELATIONS,EIC4120,3
SPECIAL TOPICS IN EAST ASIAN CULTURES,EIC4121,3
SPECIAL TOPICS IN EAST ASIAN ECONOMY,EIC4201,3
POLITICS AND ECONOMY OF CULTURE,EIC4203,3
INTRODUCTION TO CLIMATE FINANCE,EIC4301,3
GLOBAL ECONOMIC GOVERNANCE,EIC4303,3
POLICY SIMULATION†,EIC4304,3
ECONOMETRICS†,EIC4305,3
INDEPENDENT STUDY,EIC4308,2
영어글쓰기(1),ELL2001,3
영어말하기와토론,ELL2002,3
영어글쓰기(2),ELL2003,3
주니어세미나 ⓟ,ELL2004,1
UT세미나 ⓟ,ELL2005,1
영어학입문,ELL2101,3
영문학입문,ELL2501,3
미국문학개관,ELL2502,3
영국문학개관(1),ELL2503,3
영국문학개관(2),ELL2504,3
미국문화,ELL2505,3
영국문화,ELL2506,3
단편소설의예술,ELL2601,3
통번역입문,ELL2902,3
영어음성학,ELL3101,3
영어낱말분석,ELL3102,3
영어음운론,ELL3103,3
현대영문법의원리,ELL3202,3
영어화용론,ELL3301,3
영어담화분석,ELL3302,3
영문법사,ELL3303,3
영어어법연구,ELL3304,3
서정시의기본,ELL3305,3
영국사상,ELL3306,3
영어변천사,ELL3307,3
현대영국희곡,ELL3308,3
영어사용과사회,ELL3309,3
문체론입문,ELL3310,3
영어교육론,ELL3401,3
인지언어학의이해,ELL3402,3
아동문학/문화연구,ELL3404,3
제2언어로서의시,ELL3405,3
PLOT IN FICTION AND FILM,ELL3407,3
17세기영국시,ELL3601,3
20세기영시,ELL3602,3
낭만주의문학,ELL3603,3
현대영국소설,ELL3701,3
영국소설과영화,ELL3702,3
19세기영국소설(1),ELL3703,3
19세기영국소설(2),ELL3706,3
20세기미국소설,ELL3707,3
18세기영국소설,ELL3708,3
19세기미국소설,ELL3709,3
현대미국희곡,ELL3802,3
서양고전강독,ELL3902,3
영국르네상스문학,ELL3903,3
중세영문학,ELL3904,3
셰익스피어,ELL3909,3
최근영국소설,ELL3910,3
영어교육접근법,ELL3911,3
영어발표와의사소통,ELL3912,3
고급영어글쓰기,ELL3913,3
영어능력평가,ELL3914,3
대화분석의기초,ELL3915,3
"POETRY, DRAMA AND PERFORMANCE",ELL3916,3
영어어원론,ELL3918,3
DREAM WRITING,ELL3920,3
영어성경과영문학,ELL3921,3
만화의신화,ELL3922,3
심리언어학의이해,ELL3923,3
아시아계미국희곡,ELL3925,3
영어권문학,ELL3926,3
영국르네상스드라마,ELL3927,3
페미니즘문학연구,ELL3928,3
유토피아문학과사상,ELL3929,3
아일랜드문학과문화,ELL3930,3
단편영화의예술,ELL3932,3
아포칼립스소설,ELL3934,3
영어단어의역사,ELL3935,3
디지털말뭉치분석과언어교육,ELL3936,3
제2언어심리언어학,ELL4241,3
영어학특강,ELL4301,3
고급영문법,ELL4302,3
근대영국소설주제연구,ELL4303,3
영미포스트모더니즘,ELL4304,3
영어구조론,ELL4305,3
영미공상과학문학,ELL4306,3
영국지성사원전연구,ELL4307,3
미국소설특강,ELL4701,3
현대비평이론,ELL4904,3
근대성과오리엔탈리즘,ELL4905,3
문화연구:주요개념과쟁점,ELL4906,3
코퍼스의분석과활용,ELL4907,3
서양문화와희곡사,ELL4908,3
대화분석과기관내에서의대화,ELL4909,3
VICTORIAN LITERATURE AND CULTURE,ELL4910,3
CAREER DEVELOPMENT SKILLS & STRATEGIES,ELL4911,3
언어와문화의이해,ELL4912,3
문화와예술의정신분석,ELL4913,3
영문학특강2,ELL4914,3
세계희곡과인간의계보학,ELL4915,3
비교영문학특강,ELL4916,3
영문학특강1,ELL4917,3
COMPARATIVE ENGLISH LITERATURES,ELL4919,3
근현대세계문학비교연구,ELL4920,3
WISDOM AND THE ART OF LIFE,ELL4921,3
LITERATURE AND REVOLUTION,ELL4922,3
서구문명의쇠퇴와몰락,ELL4923,3
SOUTH KOREAN AND U.S. MELODRAMA,ELL4924,3
현대영어학의이론과응용,ELL4925,3
공업수학II,ENC2004,3
환경공학개론,ENC2007,3
UT세미나(환경-에너지융합),ENC2008,1
수치해석,ENC3002,3
수화학,ENC3003,3
환경기기분석,ENC3007,3
논문,ENC3009,1
환경계획,ENC3010,3
그린캡스톤디자인,ENC3028,3
환경자료분석개론,ENC3030,3
세미나,ENC3035,2
국립공원의이해,ENC3036,3
국립공원의생태학,ENC3037,3
환경영향평가,ENC4001,3
ET현장실습(1),ENC4003,1
ET현장실습(2),ENC4004,1
ET현장실습(3),ENC4005,1
ET현장실습(4),ENC4006,1
환경미생물학및실험,ENE2001,3
유체역학,ENE2002,3
공학양론,ENE2003,3
하폐수처리공학,ENE3003,3
상수도공학,ENE3004,3
수리수문학,ENE3008,3
구조역학,ENE3009,3
환경공학기초실험,ENE3015,3
환경공학심화실험,ENE3016,3
에너지환경공학,ENE3018,3
물질전달학,ENE3019,3
반응공학,ENE3020,3
폐자원에너지공학,ENE3021,3
GT융합설계,ENE3022,3
MEDICI장기현장실습,ENE3026,9
환경보전공학,ENE3027,3
대기오염방지공학,ENE4001,3
환경공학설계,ENE4003,3
환경생명공학,ENE4004,3
대기질모델링,ENE4005,3
공학기초설계,ENG1107,3
공학정보처리,ENG1108,3
공학정보처리,ENG1109,3
우리마을리빙랩(캡스톤디자인),ENG2005,3
AI스타트업,ENG2007,3
융합뇌공학입문,ENG2009,3
과학기술과사회,ENG3007,3
스타트업리걸클리닉,ENG3017,3
기후기술창업창의설계,ENG4011,3
기후기술창업가세미나,ENG4012,3
기후기술창업종합설계,ENG4013,3
영어영문학입문,ENH1001,3
영어학개관,ENH2001,3
영어쓰기연습,ENH2005,3
영문학개관,ENH2012,3
스피치,ENH2013,3
디지털리터러시입문,ENH2014,3
낭만주의영시,ENH3003,3
영어발음의이해,ENH3004,3
빅토리아조영시,ENH3006,3
영어구조론(1),ENH3009,3
응용언어학,ENH3010,3
서사시연구,ENH3011,3
영어어휘연습,ENH3015,3
영미작가론,ENH3017,3
영어구문의 이해,ENH3019,3
영어교육론,ENH3020,3
영어학연습,ENH3021,3
영어와영미사회이해,ENH3022,3
언어와심리,ENH3023,3
영미산문,ENH3026,3
미국문학개관,ENH3027,3
영어역사의이해(구영어발달사),ENH3031,3
영어문법론,ENH3032,3
영미아동문학,ENH3039,3
영상미디어와문화,ENH3040,3
영어교육방법론,ENH3041,3
영미시개관,ENH3043,3
영미소설개관,ENH3044,3
영미희곡개관,ENH3045,3
고급영문법,ENH3046,3
번역기반영어독해(구통역이론과실제),ENH3050,2
언어습득론,ENH3051,3
특수목적영어(구언어학사),ENH3054,3
영어논리및논술,ENH3055,2
영어교재연구및지도법,ENH3056,3
영어쓰기교육,ENH3058,3
영어교과과정론,ENH3059,3
영어의미분석((구의미론),ENH3060,3
영어학습평가론,ENH3063,2
미국문화창작프로젝트(캡스톤디자인),ENH3064,3
영미그림책이론과실제(1)(캡스톤디자인),ENH3065,3
코퍼스언어학,ENH3067,3
문화간커뮤니케이션,ENH3068,3
비판적영어읽기,ENH3069,3
미디어와영어교육,ENH3070,3
언어와사회,ENH3071,3
영시와영미문화,ENH3072,3
영소설특강,ENH3074,3
영문학과의료,ENH3075,3
영어비평적글쓰기,ENH3076,3
영미문학과영어토론,ENH3077,3
다문화주의문학,ENH3078,3
"영미문화와젠더,섹슈얼리티",ENH3079,3
환경과영미문화,ENH3080,2
현대영미희곡,ENH3081,3
미국대중문화연구,ENH3082,3
영어담화의이해와분석,ENH3084,3
영화비평론,ENH4001,3
성경과영문학,ENH4003,3
밀튼과인문학적상상력,ENH4007,3
영미비평,ENH4011,3
영어학특강,ENH4012,3
영어구조론(2),ENH4015,3
현대비평론,ENH4016,3
영미문학과영화,ENH4017,3
영어교육특강(구영어교재개발론),ENH4018,3
미국소설특강,ENH4019,3
영미단편소설,ENH4020,3
영어영문학과현장실습(1),ENH4022,1
글로벌업무소통영어,ENH4028,3
동아시아영화연구,ENH4029,3
공상과학문학,ENH4030,3
추리소설연구,ENH4031,3
최근문화연구,ENH4032,3
폐기물학,ENS2001,3
환경분석,ENS2002,3
수질오염학,ENS2003,3
환경화학,ENS2004,3
대기오염학,ENS2005,3
환경유기화학,ENS2010,3
무기재료공학,ENS2011,3
에너지공학설계입문,ENS2012,3
토양오염학,ENS3001,3
소음방지공학및실험,ENS3002,3
실내공기오염제어,ENS3010,3
신에너지공학,ENS3020,3
수환경모델,ENS3021,3
열역학,ENS3022,3
바이오에너지공학,ENS3023,3
환경오염물모니터링,ENS3025,3
에너지소재공학,ENS3026,3
AI기반 공정설계개론,ENS3027,3
에너지표면공학,ENS3028,3
친환경에너지공학기초실험,ENS3029,3
친환경에너지공학고급실험,ENS3030,3
진동방지공학및실험,ENS4002,3
방사선환경,ENS4005,3
에너지회수공학,ENS4008,3
경제학코딩(2),EOC3220,3
PHYSICAL CHEMISTRY (2),ESE2002,3
ENERGY ENGINEERING,ESE3001,3
FLUID DYNAMICS,ESE3002,3
